"measurement","treatment","animal","sex","analyst","device"
6.92430671646122,"sample","D1","f","A1","B1"
4.22350415438984,"sample","D1","f","A1","B1"
0.125939558110332,"sample","D2","m","A1","B1"
0.13076352933432,"sample","D2","m","A1","B1"
0.126599351486129,"sample","D3","m","A1","B1"
0.151887808366396,"sample","D3","m","A1","B1"
0.197055873807323,"sample","D4","m","A1","B1"
0.274101538615922,"sample","D4","m","A1","B1"
0.0287495914050282,"sample","D5","f","A1","B1"
0.0198841981141495,"sample","D5","f","A1","B1"
1.32261357479076,"sample","D6","f","A1","B1"
1.56854026167087,"sample","D6","f","A1","B1"
6.18114119220458,"sample","D7","m","A1","B1"
6.8324018000082,"sample","D7","m","A1","B1"
0.0790482708652615,"sample","D8","m","A1","B1"
0.101067143098776,"sample","D8","m","A1","B1"
2.13887352986427,"sample","D9","m","A1","B1"
2.26519459150389,"sample","D9","m","A1","B1"
3.09063327175304,"sample","D10","f","A1","B1"
4.25338295337548,"sample","D10","f","A1","B1"
9.3313735834524,"sample","D11","m","A1","B1"
9.52409570733946,"sample","D11","m","A1","B1"
0.186309082699216,"sample","D12","m","A1","B1"
0.241704321945647,"sample","D12","m","A1","B1"
4.67890824283906,"sample","D13","f","A1","B1"
3.48303602565082,"sample","D13","f","A1","B1"
0.0735751726732694,"sample","D14","m","A1","B1"
0.07462805078768,"sample","D14","m","A1","B1"
2.29638257545388,"sample","D15","m","A1","B1"
1.9045596895661,"sample","D15","m","A1","B1"
3.35974018130149,"sample","D16","f","A1","B1"
3.47118801137586,"sample","D16","f","A1","B1"
1.20018557592084,"sample","D17","f","A1","B1"
0.954896040659055,"sample","D17","f","A1","B1"
0.0213336108629045,"sample","D18","m","A1","B1"
0.021200602368141,"sample","D18","m","A1","B1"
3.40974192797086,"sample","D19","f","A1","B1"
4.06520446799156,"sample","D19","f","A1","B1"
0.0800083229022951,"sample","D20","f","A1","B1"
0.0770900448198879,"sample","D20","f","A1","B1"
14.274644702948,"sample","D1","f","A1","B2"
10.0940465651913,"sample","D1","f","A1","B2"
0.157921195961935,"sample","D2","m","A1","B2"
0.130072306016823,"sample","D2","m","A1","B2"
0.184104915572382,"sample","D3","m","A1","B2"
0.113524853734524,"sample","D3","m","A1","B2"
0.184971150227706,"sample","D4","m","A1","B2"
0.159268982247533,"sample","D4","m","A1","B2"
0.034808013578217,"sample","D5","f","A1","B2"
0.0337545680850501,"sample","D5","f","A1","B2"
1.541196028095,"sample","D6","f","A1","B2"
1.43525553578392,"sample","D6","f","A1","B2"
2.7371116537472,"sample","D7","m","A1","B2"
3.49279822186742,"sample","D7","m","A1","B2"
0.0686631700167739,"sample","D8","m","A1","B2"
0.063085197264228,"sample","D8","m","A1","B2"
2.4270609959367,"sample","D9","m","A1","B2"
2.39562529869815,"sample","D9","m","A1","B2"
3.63566334803684,"sample","D10","f","A1","B2"
3.20734995673175,"sample","D10","f","A1","B2"
17.6546127791142,"sample","D11","m","A1","B2"
21.5437882835549,"sample","D11","m","A1","B2"
0.115116469483787,"sample","D12","m","A1","B2"
0.110214803602818,"sample","D12","m","A1","B2"
3.60527814102085,"sample","D13","f","A1","B2"
2.41813164370774,"sample","D13","f","A1","B2"
0.073231970054992,"sample","D14","m","A1","B2"
0.0817844465599,"sample","D14","m","A1","B2"
2.18400848296439,"sample","D15","m","A1","B2"
1.83609677235673,"sample","D15","m","A1","B2"
3.77171442846374,"sample","D16","f","A1","B2"
3.81615606220456,"sample","D16","f","A1","B2"
1.61510278128387,"sample","D17","f","A1","B2"
1.77737451344252,"sample","D17","f","A1","B2"
0.0125799151846153,"sample","D18","m","A1","B2"
0.0161778893134932,"sample","D18","m","A1","B2"
0.996139467427126,"sample","D19","f","A1","B2"
1.52991395316154,"sample","D19","f","A1","B2"
0.186317230769534,"sample","D20","f","A1","B2"
0.249690832115751,"sample","D20","f","A1","B2"
10.2234092931233,"sample","D1","f","A1","B3"
8.66730877403393,"sample","D1","f","A1","B3"
0.187469588920006,"sample","D2","m","A1","B3"
0.189095236349545,"sample","D2","m","A1","B3"
0.257877138520247,"sample","D3","m","A1","B3"
0.203879162552301,"sample","D3","m","A1","B3"
0.191334845453952,"sample","D4","m","A1","B3"
0.169233200311891,"sample","D4","m","A1","B3"
